날짜,업체,브랜드,품목,원산지,등급,EST,단가,비고,창고
2026/01/18,HelloFarms,EXCEL,#2탕갈비,,UN,86K,"7,300",,
2026/01/18,HelloFarms,EXCEL,#2탕갈비,,UN,86M,"7,200",,
2026/01/18,TMS,CS,A(캐나다),,93(27.8),10000,,,
2026/01/18,TMS,CS,A(캐나다),,93,11200,,,
2026/01/18,TMS,CS,A(캐나다),,93,6600,,,
2026/01/18,TMS,CS,AAA(캐나다),,51(26),23000,,,
2026/01/18,TMS,CS,AAA(캐나다),,51,7900,,,
2026/01/18,TMS,CS,AAA(캐나다),,93,10000,,,
2026/01/18,HelloFarms,EXCEL,BBQ,,UN,86R,"11,200",,
2026/01/18,MLP,프리고소노(FRIGOSORNO),BBQ백립,,S,살밥많음,"9,500",,
2026/01/18,TMS,CS,CAB,,86E(29),18500,,,
2026/01/18,TMS,CS,CH,,86E(27),17900,,,
2026/01/18,TMS,CS,CH,,86K(26),19200,,,
2026/01/18,TMS,CS,CH,,86M(29),20800,,,
2026/01/18,TMS,CS,CH,,86M(31),21300,,,
2026/01/18,TMS,CS,CH,,86E(25.5),14100,,,
2026/01/18,TMS,CS,CH,,86R(25.5),14300,,,
2026/01/18,TMS,CS,CH,,86M(25.9),14300,,,
2026/01/18,TMS,CS,CH,,86R,22500,,,
2026/01/18,TMS,CS,CH,,86M,23500,,,
2026/01/18,TMS,CS,CH,,86M/R/K,14200,,,
2026/01/18,TMS,CS,CH,,86M,16000,,,
2026/01/18,TMS,CS,CH,,86R,17000,,,
2026/01/18,TMS,CS,CH,,86K,13400,,,
2026/01/18,TMS,CS,CH,,86M,13200,,,
2026/01/18,TMS,SWC,CH,,86K/E,14200,,,
2026/01/18,TMS,강남/2,CH,,86R/M,14200,,,
2026/01/18,TMS,대재,CH,,86R,14200,,,
2026/01/18,HelloFarms,MEYER,LA갈비,,CH,86R,"22,500",,
2026/01/18,HelloFarms,NBP,LA갈비,,PR,262,"23,000",,
2026/01/18,HelloFarms,NBP,LA갈비,,PR,208A,"22,500",,
2026/01/18,HelloFarms,NBP,LA갈비,,CAB,208A,"21,800",,
2026/01/18,HelloFarms,NBP,LA갈비,,SEL,262,"21,200",,
2026/01/18,HelloFarms,NBP,LA갈비,,PR,208A,"20,200",,
2026/01/18,HelloFarms,,LA갈비,,CAB,86E,"18,300",,
2026/01/18,HelloFarms,,LA갈비,,CH,86M,"21,000",,
2026/01/18,HelloFarms,,LA갈비,,CH,86K,"18,200",,
2026/01/18,HelloFarms,,LA갈비,,CH,86E,"18,000",,
2026/01/18,HelloFarms,,LA갈비,,SEL,86M,"18,300",,
2026/01/18,HelloFarms,,LA갈비,,SEL,86R,"18,200",,
2026/01/18,HelloFarms,,LA갈비,,SEL/UN,86K,"17,800",,
2026/01/18,HelloFarms,,LA갈비,,SEL/UN,86E,"17,600",,
2026/01/18,TMS,CS,PR,,86E(27),19500,,,
2026/01/18,TMS,CS,PR,,86M(31),23500,,,
2026/01/18,TMS,CS,PSA,,86K,12000,,,
2026/01/18,TMS,CS,SE,,86K(25),17500,,,
2026/01/18,TMS,CS,SE,,86M(28),18500,,,
2026/01/18,TMS,CS,SE,,86K,7400,,,
2026/01/18,TMS,CS,SE,,86R,8800,,,
2026/01/18,TMS,CS,SE,,86E(29),11000,,,
2026/01/18,TMS,CS,UN,,86R/MK#2,7000,,,
2026/01/18,TMS,CS,UN,,86E#2,7300,,,
2026/01/18,TMS,CS,UN,,86R,11200,,,
2026/01/18,TMS,CS,UN,,86C,9000,,,
2026/01/18,TMS,CS,UN,,86K,8000,,,
2026/01/18,TMS,CS,UN,,86M,16000,,,
2026/01/18,TMS,CS,UN,,86E,7000,,,
2026/01/18,TMS,CS,UN,,86K,7500,,,
2026/01/18,TMS,CS,UN,,86R,3500,,,
2026/01/18,TMS,CS,UN,,86M,4000,,,
2026/01/18,MLP,아싸(AASA),가브리,,,06-01,"12,700",,
2026/01/18,NaruFoods,AASA,가브리살,,,06-01,,,
2026/01/18,NaruFoods,COEXCA,가브리살,,,07-03,,,
2026/01/18,TMS,TEYS/호주,간양,,S,4800,,,
2026/01/18,MLP,아싸(AASA),갈매기,,단막진공,06-01,"11,200",,
2026/01/18,NaruFoods,AASA,갈매기살,,,06-01,,,
2026/01/18,EumyeongFoods,EXCEL,갈비,,CH,86E,18000,,
2026/01/18,EumyeongFoods,EXCEL,갈비,,CAB,86M,18200,,
2026/01/18,EumyeongFoods,EXCEL,갈비,,CH,86K,20800,,
2026/01/18,MLP,EXCEL,갈비,,CH,86M,"20,500",,
2026/01/18,EumyeongFoods,IBP,갈비,,CAB,278,21500,,
2026/01/18,EumyeongFoods,IBP,갈비,,CH,245E,20500,,
2026/01/18,EumyeongFoods,IBP,갈비,,CH,245E,19500,,
2026/01/18,EumyeongFoods,IBP,갈비,,UN,245E,18300,,
2026/01/18,MLP,NBP,갈비,,CH,262,"22,000",,
2026/01/18,MLP,NBP (냉장육),갈비,,CAB.CH,208.262,"21,700",,
2026/01/18,MLP,NBP (동결),갈비,,CAB.CH,262,22800-21500,,
2026/01/18,EumyeongFoods,PPCS,갈비,,COW,26,10200,,
2026/01/18,HelloFarms,SHOWCASE,갈비,,CH,562,"17,900",,
2026/01/18,TMS,TEYS/호주,갈비,,A,11800,,,
2026/01/18,MLP,헤리스펜치,갈비,,PR/CH,,21500-19500,,
2026/01/18,금성컴퍼니,NBP,갈비(16.26KG),미국,SE,208A,20000,,
2026/01/18,금성컴퍼니,NBP,갈비(16.4KG),미국,CH,208A,21400,,
2026/01/18,금성컴퍼니,NBP,갈비(16.8KG),미국,CAB,208A,22200,,
2026/01/18,금성컴퍼니,NBP,갈비(17.25KG),미국,SE,262,21000,,
2026/01/18,금성컴퍼니,NBP,갈비(17.7Kg),미국,CH,262,22200,,
