글번호,제목,글쓴이,작성일,링크
93904,돈연골잡육(국산) 구합니다,사골조아,14:50,https://cafe.daum.net/meetpeople/HoTs/93904
93902,국산 우사골 구합니다,사골조아,13:55,https://cafe.daum.net/meetpeople/HoTs/93902
93900,미국산 스위푸트 969G 황제 늑간 구매합니다,kty271,13:30,https://cafe.daum.net/meetpeople/HoTs/93900
93898,잉카롭사 목살(진공) 구매합니다.,캐시카우,12:31,https://cafe.daum.net/meetpeople/HoTs/93898
93896,스미스필드 목전지 구합니다.,김태양,11:38,https://cafe.daum.net/meetpeople/HoTs/93896
93894,"엑셀 86M,86R SE 갈비 구매합니다.",에이젯 송광훈,10:32,https://cafe.daum.net/meetpeople/HoTs/93894
93891,스페인 진공 목살 구합니다.(구매완료),큐미트,08:57,https://cafe.daum.net/meetpeople/HoTs/93891
93889,EX 삼겹양지 구매 합니다,MG티앤씨 김대신,07:35,https://cafe.daum.net/meetpeople/HoTs/93889
93886,미국산 아이비피 목심 구매합니다.,제이알미트 김효영,26.07.06,https://cafe.daum.net/meetpeople/HoTs/93886
93884,NBP 냉장 일반갈비CAB 262 넘버로 구매합니다.,과천 김현석,26.07.06,https://cafe.daum.net/meetpeople/HoTs/93884
