점수,근거,구매글번호,구매제목,구매링크,판매글번호,판매제목,판매글쓴이,판매링크,발견일시,판매수집일,중개문구,판매업체,판매담당자,판매연락처,판매수량
1,품목:삼겹양지,93878,미국산 엑셀 삼겹양지 구합니다.,https://cafe.daum.net/meetpeople/HoTs/93878,220633,웨스트포트 하이암퇘지 삼겹 판매합니다!!,미코상사,https://cafe.daum.net/meetpeople/HoUW/220633,2026-07-06 23:50:40,,,,,,
1,품목:삼겹양지,93878,미국산 엑셀 삼겹양지 구합니다.,https://cafe.daum.net/meetpeople/HoTs/93878,220616,블랙포크 삼겹 판매합니다.,전사,https://cafe.daum.net/meetpeople/HoUW/220616,2026-07-06 23:50:40,,,,,,
7,품목:갈비 / 브랜드 일치 / EST 245 일치,93874,미국산 아이비피 245E CH 갈비 구매합니다.,https://cafe.daum.net/meetpeople/HoTs/93874,220483,IBP 245E CAB 갈비 판매합니다,LSTC 구기모,https://cafe.daum.net/meetpeople/HoUW/220483,2026-07-07 23:07:21,,,,,,
7,품목:갈비 / 브랜드 일치 / EST 245 일치,93874,미국산 아이비피 245E CH 갈비 구매합니다.,https://cafe.daum.net/meetpeople/HoTs/93874,219938,IBP 245E CAB 갈비 팝니다.,김승용,https://cafe.daum.net/meetpeople/HoUW/219938,2026-07-07 23:07:21,,,,,,
6,품목:삼겹양지 / 브랜드 일치 / 원산지 일치,93878,미국산 엑셀 삼겹양지 구합니다.,https://cafe.daum.net/meetpeople/HoTs/93878,219470,미국산 엑셀 삼겹양지 판매합니다.,MK선종,https://cafe.daum.net/meetpeople/HoUW/219470,2026-07-07 23:07:21,,,,,,
6,품목:갈비 / 브랜드 일치 / 원산지 일치,93874,미국산 아이비피 245E CH 갈비 구매합니다.,https://cafe.daum.net/meetpeople/HoTs/93874,219896,냉장 미국산 갈비 판매합니다.,대동호야,https://cafe.daum.net/meetpeople/HoUW/219896,2026-07-07 23:07:21,,,,,,
6,품목:갈비 / 브랜드 일치 / 원산지 일치,93874,미국산 아이비피 245E CH 갈비 구매합니다.,https://cafe.daum.net/meetpeople/HoTs/93874,219461,미국산 오마하 초이스 갈비 판매합니다,가산최프로,https://cafe.daum.net/meetpeople/HoUW/219461,2026-07-07 23:07:21,,,,,,
6,품목:닭정육 / 브랜드 일치 / 원산지 일치,93892,씨에라 브라질 닭정육 판매 합니다,https://cafe.daum.net/meetpeople/HoTs/93892,220697,씨에라 닭정육 브라질 판매합니다 ~,보보,https://cafe.daum.net/meetpeople/HoUW/220697,2026-07-07 23:07:22,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,220609,[캐나다] 메이플 목전지 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/220609,2026-07-07 23:07:26,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,220498,[캐나다] 메이플 목전지 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/220498,2026-07-07 23:07:26,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,220305,[캐나다] 메이플 목전지 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/220305,2026-07-07 23:07:26,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,219983,[캐나다] 메이플 목전지 적극 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/219983,2026-07-07 23:07:26,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,219894,[캐나다] 메이플 목전지 적극 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/219894,2026-07-07 23:07:26,,,,,,
6,품목:목전지 / 브랜드 일치 / 원산지 일치,93901,캐나다 [메이플 목전지] 구매 합니다.,https://cafe.daum.net/meetpeople/HoTs/93901,219812,[캐나다] 메이플 목전지 적극 판매합니다.,정경의 파이프,https://cafe.daum.net/meetpeople/HoUW/219812,2026-07-07 23:07:26,,,,,,
